step,loss,r1,r2,kl1,kl2
0,0.710372269153595,4.168477535247803,2.937035083770752,11.5078125,16.953125
1,0.5934301018714905,4.17326021194458,2.7225258350372314,13.046875,13.375
2,2.054335832595825,-1.2038328647613525,3.937166929244995,12.3359375,12.375
0,0.45264700055122375,2.3579483032226562,3.316990613937378,16.21875,14.4921875
3,0.15356643497943878,4.538885593414307,4.967817306518555,14.2109375,14.65625
1,0.04217853397130966,-3.8300623893737793,-3.9413938522338867,14.9921875,14.9296875
4,0.19444137811660767,-0.35954010486602783,-0.009060166776180267,14.578125,13.21875
2,0.9711108803749084,4.270313262939453,1.8536620140075684,13.9609375,14.078125
5,1.0998485088348389,-1.0829802751541138,1.6409454345703125,12.234375,11.9765625
6,2.084523916244507,3.6153030395507812,-2.3187146186828613,12.03125,4.81640625
3,0.4205475449562073,-1.444055438041687,-0.37875810265541077,15.0703125,15.203125
7,0.2637951374053955,4.51629114151001,4.735510349273682,16.71875,12.3125
8,3.2640092372894287,-3.4675846099853516,4.821384906768799,12.3046875,13.5703125
9,0.35206571221351624,4.784731388092041,4.001031875610352,12.46875,13.4375
10,1.4293301105499268,4.798590183258057,1.523220419883728,10.859375,13.84375
11,0.21363858878612518,-4.5451741218566895,-3.9298923015594482,13.109375,13.9140625
12,2.5492208003997803,-1.2594212293624878,5.149366855621338,14.015625,14.3515625
13,1.3568964004516602,4.447131156921387,1.0706634521484375,11.140625,11.3125
14,0.46429014205932617,5.059257984161377,3.9470772743225098,13.6015625,14.09375
15,2.2717442512512207,-2.7871527671813965,2.863321304321289,17.859375,17.5625
16,2.8061139583587646,3.7822508811950684,-3.0745904445648193,13.734375,15.3359375
17,2.92960262298584,3.761047840118408,-3.6956067085266113,13.1328125,11.828125
18,1.4608299732208252,-3.134018898010254,0.9750025272369385,11.765625,16.328125
19,3.0331993103027344,-4.5003743171691895,3.1215853691101074,12.6875,13.0546875
20,1.8719264268875122,-0.9895784854888916,3.752903461456299,13.484375,14.1015625
21,1.1433783769607544,3.1862692832946777,0.22165650129318237,14.421875,13.3671875
22,1.8676010370254517,2.7440719604492188,-1.8762661218643188,12.375,12.8671875
23,0.697632372379303,-0.7507576942443848,-2.5050301551818848,12.5703125,12.46875
24,0.7633530497550964,-1.4099184274673462,0.8026412725448608,13.8046875,16.84375
25,1.1439942121505737,-4.4855217933654785,-1.5633145570755005,12.015625,12.625
26,0.8498905897140503,3.0078017711639404,5.098867416381836,12.8984375,12.5546875
27,2.814868927001953,2.6304402351379395,-4.234622478485107,13.6328125,15.375
28,1.650955080986023,0.013870187103748322,-4.330345630645752,13.8203125,11.6640625
29,1.4175682067871094,-2.749479293823242,0.7328066229820251,13.4140625,12.796875
30,1.1116948127746582,3.677943229675293,0.8199023604393005,16.234375,15.453125
31,2.4384608268737793,-1.9292711019515991,3.775791645050049,18.03125,14.1015625
32,2.575488328933716,-3.453181266784668,3.273244857788086,12.90625,15.7734375
33,2.4990522861480713,3.2735676765441895,-3.019534111022949,12.6875,12.2421875
34,0.7147372364997864,2.3329102993011475,4.033275604248047,13.8046875,12.9375
35,2.509439468383789,-2.744516372680664,4.003270626068115,14.2578125,18.984375
36,3.7559468746185303,-4.037549018859863,5.150510311126709,14.3515625,12.3125
37,0.6404728293418884,0.7558976411819458,2.615283250808716,13.5703125,16.15625
38,0.5560208559036255,1.7946735620498657,0.7597506642341614,11.2109375,14.765625
39,0.3945375084877014,4.0296478271484375,2.767672538757324,17.890625,15.1328125
40,3.0362894535064697,4.237757205963135,-3.2161483764648438,10.984375,12.375
41,1.2096748352050781,1.1388888359069824,4.517330169677734,13.109375,16.640625
42,0.6214006543159485,-0.8313330411911011,0.672743022441864,13.6796875,13.1875
43,0.8311492800712585,1.0684210062026978,2.699535846710205,17.265625,12.7890625
44,1.5485516786575317,0.3324778079986572,-3.458792209625244,16.34375,17.15625
45,0.2919491231441498,2.7261123657226562,3.8546009063720703,16.8125,20.796875
46,4.197671890258789,-3.6198160648345947,5.165989398956299,20.921875,3.80859375
47,0.8491663336753845,-0.7704546451568604,-2.7513108253479004,12.7578125,14.1796875
48,1.4742118120193481,-3.6463825702667236,-0.3242107629776001,16.875,13.234375
49,0.06244565173983574,3.1737632751464844,3.9295248985290527,12.515625,18.515625
50,0.4015607535839081,4.512702465057373,3.9831647872924805,15.40625,20.15625
51,0.5909838676452637,-2.8237175941467285,-2.0402331352233887,19.640625,12.6953125
52,0.772286057472229,2.5160961151123047,4.013689041137695,18.796875,14.4609375
53,2.765918731689453,2.900729179382324,-3.543099880218506,13.0078125,17.734375
54,0.6228619813919067,3.446259021759033,3.8104348182678223,30.828125,18.890625
55,0.9831548929214478,-0.39355531334877014,2.391104221343994,12.671875,15.9375
56,0.027827715501189232,4.1034417152404785,4.296074867248535,15.859375,17.09375
57,1.020374059677124,-2.069701671600342,0.23380959033966064,17.28125,14.8046875
58,0.2590136229991913,3.5920753479003906,2.899461269378662,15.3671875,14.921875
59,2.039114236831665,3.4959144592285156,-1.4517486095428467,14.3515625,15.8671875
60,0.05994667857885361,-0.43606752157211304,-0.793978750705719,15.6796875,13.6015625
61,0.6281343102455139,4.961421966552734,3.362382411956787,14.6171875,14.3359375
62,0.10714546591043472,0.638197660446167,0.3585498631000519,13.4375,13.3203125
63,2.739445447921753,3.566586971282959,-3.243659734725952,12.9765625,13.375
64,0.42183244228363037,-2.4413185119628906,-3.146547794342041,15.234375,18.734375
65,2.6301000118255615,2.4214603900909424,-4.339965343475342,17.40625,15.5546875
66,2.0522375106811523,-3.888988494873047,0.3014518916606903,22.90625,13.4921875
67,2.6892006397247314,3.075563907623291,-3.6100165843963623,13.4453125,13.8359375
68,3.685931444168091,-4.128001689910889,5.023647308349609,15.8515625,15.1953125
